Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 11:59:34 2023, PASS_RES,99970.349,5.737,0
Thu Jun  1 11:59:48 2023, PASS_RES,99970.604,3.49,0
Thu Jun  1 12:00:02 2023, PASS_RES,99970.589,5.544,0
Thu Jun  1 12:00:16 2023, PASS_RES,99968.82,2.17,0
Thu Jun  1 12:00:30 2023, PASS_RES,99969.281,3.419,0
Thu Jun  1 12:00:44 2023, PASS_RES,99971.006,4.536,0
Thu Jun  1 12:00:57 2023, PASS_RES,99970.013,6.634,0
Thu Jun  1 12:01:11 2023, PASS_RES,99968.44,3.853,0
Thu Jun  1 12:01:25 2023, PASS_RES,99965.051,4.83,0
Thu Jun  1 12:01:39 2023, PASS_RES,99966.276,3.828,0
Thu Jun  1 12:01:53 2023, PASS_RES,99968.671,4.435,0
Thu Jun  1 12:02:07 2023, PASS_RES,99968.693,6.1,0
Thu Jun  1 12:02:21 2023, PASS_RES,99963.046,3.794,0
Thu Jun  1 12:02:34 2023, PASS_RES,99967.218,4.247,0
Thu Jun  1 12:02:48 2023, PASS_RES,99968.915,8.263,0
Thu Jun  1 12:03:02 2023, PASS_RES,99964.49,2.86,0
Thu Jun  1 12:03:16 2023, PASS_RES,99964.332,6.27,0
Thu Jun  1 12:03:30 2023, PASS_RES,99962.386,3.225,0
Thu Jun  1 12:03:44 2023, PASS_RES,99958.955,4.539,0
Thu Jun  1 12:03:58 2023, PASS_RES,99961.823,2.95,0
Thu Jun  1 12:04:12 2023, PASS_RES,99964.019,6.526,0
Thu Jun  1 12:04:25 2023, PASS_RES,99961.412,3.144,0
Thu Jun  1 12:04:39 2023, PASS_RES,99959.368,5.055,0
Thu Jun  1 12:04:53 2023, PASS_RES,99958.341,3.681,0
Thu Jun  1 12:05:07 2023, PASS_RES,99957.959,4.328,0
Thu Jun  1 12:05:21 2023, PASS_RES,99959.562,6.894,0
Thu Jun  1 12:05:35 2023, PASS_RES,99953.912,2.997,0
